Date,Value
247,3910359
248,3212382
249,3514143
250,3687072
251,3469203
252,3350100
253,3919221
254,3752667
255,3951333
256,2558742
257,2629338
258,2641440
259,3063867
260,1093608
261,3384036
262,1904298
263,2099502
264,2846616
265,2542245
266,3930918
267,3491910
268,3944361
269,1522815
270,2551053
271,3056739
272,1140414
273,2701356
274,2446443
275,2722431
276,3341106
277,2941488
278,3148035
279,3406830
280,2502630
281,2920086
282,1722699
283,477312
284,3732606
285,2144178
286,1667097
287,2548602
288,1108995
289,848925
290,4418397
291,3293751
292,3421476
293,2419857
294,2504316
295,3064953
296,1518480
297,2632755
298,2585652
299,4202406
300,3069702
301,1300350
302,3396651
303,3337728
304,2869416
305,2526606
306,1694946
307,2850576
308,3336657
309,1252326
310,1945707
311,2331063
312,1922295
313,3793203
314,1024773
315,1505226
316,3407388
317,1421238
318,2952693
319,2319855
320,3338070
321,3537840
322,4363737
323,1590246
324,3105561
325,2179221
326,1991025
327,2815968
328,1408581
329,2611182
330,1424622
331,2404233
332,828519
333,2954433
334,932094
335,927585
336,1903491
337,1979781
338,823788
339,3442233
340,2931171
341,2967543
342,1222092
343,3116013
344,2524599
345,2546088
346,2520738
347,3591831
348,1252239
349,2836335
350,2472219
351,3066384
352,3392109
353,4306365
354,2356116
355,3407172
356,2964459
357,2897418
358,4264716
359,2831835
360,3071376
361,956463
362,1801164
363,722715
364,586596
365,5057610
366,3301281
367,3093990
368,1670067
369,737586
370,3249021
371,3439380
372,2949534
373,1361670
374,1072185
375,1250811
376,2135397
377,3490863
378,2476728
379,1376733
380,3536682
381,1481520
382,3070605
383,2531196
384,3095553
385,1966248
386,2827905
387,2076066
388,3176367
389,3281436
390,2417199
391,2760345
392,2966994
393,2425404
394,2538783
395,2747517
396,2526252
397,4345752
398,2679831
399,1543098
400,3187416
401,2454471
402,3332427
403,1247526
404,2687181
405,2339331
406,3017547
407,3116931
408,1929258
409,3491124
410,3508416
411,1429386
412,2493192
413,2620656
414,2446968
415,3195993
416,1468197
417,3521982
418,3258120
419,2750295
420,2515047
421,1230720
422,3405153
423,4034727
424,2343945
425,2856936
426,402858
427,2527686
428,2250642
429,3119628
430,1039956
431,1877418
432,3011472
433,2959098
434,1939491
435,3303696
436,1591104
437,3324426
438,1141491
439,3250353
440,2380839
441,2297778
442,3095514
443,3258216
444,1072017
445,1632579
446,1423266
447,2692977
448,2477679
449,408210
450,621648
451,2796108
452,3667740
453,2057268
454,4615794
455,3521439
456,2877465
457,1490322
458,728754
459,723414
460,3361725
461,2403477
462,3413814
463,2940942
464,2663439
465,2067927
466,2535234
467,1282683
468,2930163
469,3221103
470,2987409
471,3318576
472,426228
473,2679009
474,2478048
475,1738611
476,3002670
477,3378123
478,233091
479,3286488
480,2233578
481,3114066
482,1653777
483,2276190
484,1105608
485,3240567
486,1845873
487,2641098
488,2864217
489,2773683
490,3496851
491,2609682
492,3431634
493,2754612
494,1963134
495,2370720
496,3200856
497,2970645
498,3082356
499,851358
500,3356826
501,1628826
502,2545908
503,614928
504,2262201
505,3533019
506,2411595
507,618858
508,3279840
509,3104142
510,400608
511,3598908
512,1723302
513,2948805
514,3336069
515,2880453
517,369486
518,2058906
519,3236607
520,1966302
521,2767983
522,3185727
523,3486780
524,2378349
525,2914464
526,2932743
527,2126814
528,3021783
529,1828338
530,1871451
531,1242840
532,2023062
533,3134784
534,2358297
535,3415857
524,655716
525,1255797
526,372855
527,1135041
528,2065323
529,972915
524,1010682
525,1582809
526,1759977
527,860562
528,1396365
529,1086147
530,1119093
531,1388709
532,1573089
533,903174
534,1487706
535,1153644
536,1701513
537,1415658
538,1849656
539,1864800
540,951105
541,1911915
542,576135
543,1394790
544,1279416
545,2333859
546,2482527
547,1444317
548,1967787
549,2048187
550,1193961
551,1907139
552,2017158
553,1438095
554,1783983
555,1113198
556,813654
557,1006497
558,2120574
559,1203306
560,2041698
561,2022120
562,1885788
563,2001669
564,3601302
565,1623588
566,1392156
567,1548375
568,1793670
569,1826751
570,1250628
571,1606848
572,1719609
573,2040321
574,2281062
575,2013183
576,1895019
577,2072865
578,2239932
579,684741
580,488970
581,750618
582,1271922
583,2264523
584,1564725
585,1966839
586,1530078
587,1831014
588,1818843
589,1311648
590,2709207
591,1160664
592,2140350
593,1440273
594,1306746
595,1905816
596,1150620
597,968148
598,1473351
599,1996521
600,1020720
601,1466457
602,996807
603,1031376
604,1832730
605,1182825
606,2008509
607,2204343
608,2005158
609,1582695
610,1822806
611,2132058
612,2097837
613,499368
614,1680273
615,1488834
616,506913
617,1857276
618,1157430
619,1765644
620,1001022
621,1502406
622,2508225
623,1416246
624,276909
625,1389027
626,2475369
627,1247643
628,1670328
629,3597567
630,1838316
631,1815540
632,2301888
633,1846047
634,1486158
635,2319972
636,3579612
637,966036
638,1235175
639,2002230
640,1284909
641,2387442
642,1858101
643,1287237
644,1972887
645,2049075
646,2054019
647,1993656
648,1461399
649,998004
650,2867439
651,1975899
652,780384
653,2569464
654,1119606
655,1492383
656,1786023
657,640686
658,1780917
659,1218810
660,2322264
661,2312721
662,1087797
663,1809399
664,498090
665,1713234
666,1967952
667,1888227
668,1977162
669,1962783
670,1149105
671,2182947
672,2326908
673,1569897
674,1384950
675,1023924
676,1132638
677,1906677
678,242061
679,1920384
680,1175574
681,1069188
682,1150929
683,1553268
684,1084896
685,1354668
686,1981431
687,1056651
688,1159863
689,1866450
690,2216397
691,1437207
692,1281687
693,1181055
694,1520571
695,1763820
696,1192143
697,992031
698,2234574
699,3410403
700,2008464
701,834651
702,560655
703,986016
704,1786914
705,1997229
706,2829840
707,2455740
708,1936473
709,1622976
710,1640487
711,2707479
712,1020189
713,1795386
714,1722912
715,2136078
716,1253397
717,1719255
718,787941
719,1634499
720,2170875
721,2413659
722,1092243
723,2620452
724,2207040
725,1177821
726,1945350
727,1566924
728,1414752
729,1898226
730,979920
731,392442
732,1240941
733,1250616
734,1923057
735,1261890
736,2555898
737,1163955
738,1337511
739,1497489
740,1798446
741,864765
742,1450149
743,1245540
744,2835021
745,790053
746,1837530
747,1998567
748,2265144
749,1883460
750,265317
751,1417020
752,1490088
753,2148879
754,1887129
755,1965969
756,1122306
757,2065800
758,964290
759,1896717
760,1823655
761,1597275
762,2128665
763,877572
764,1324479
765,2219556
766,1910019
767,2062752
768,1326024
769,2049222
770,1452942
771,1514436
772,501267
773,2061924
774,1488483
775,1069290
776,2553885
777,210294
778,1888047
779,2232309
780,2721660
781,1665969
782,937284
783,1888536
784,1295052
785,1289976
786,1989249
787,2037510
788,1289430
789,2035773
790,1635402
791,1645257
792,1064943
793,2031456
794,2075946
795,2245632
796,1710309
797,1017279
798,1805445
799,2087211
800,2294100
801,2838144
802,1661604
803,905739
804,2406414
805,1246356
806,1522671
807,955110
808,1834044
809,1356222
810,2187138
811,1407054
812,3603126
813,1285263
814,1268937
815,3057759
816,1491522
817,1216812
818,676515
819,1575801
820,2066109
821,1370955
822,1286211
823,767073
824,2119131
825,1425072
826,1685058
827,2172489
828,2021844
829,1154628
830,1724418
831,1469661
832,1496616
833,938418
834,1810206
835,1394100
836,2040288
837,1736964
838,1823436
839,1900923
840,1239318
841,1007064
842,849861
843,2355375
844,2107716
845,1349703
846,2548005
847,1505028
848,2818518
849,2337828
850,583680
851,1487658
852,2562579
853,1197258
854,1124184
855,1978599
856,1348146
857,1702317
858,1491762
859,1559481
860,2102760
861,1816029
862,2286510
863,1027458
864,1622562
865,1515960
866,1041159
867,2892585
868,2218266
869,455856
870,1876209
871,1117581
872,1458249
873,1173534
874,1234011
875,1838103
876,2136810
877,2435901
878,1394463
879,1812444
880,1047264
881,1523685
882,2274510
883,1560864
884,2234055
885,1633269
886,1756260
887,1856937
888,1540698
889,1287297
890,2071377
891,1757751
892,1713468
893,1341690
894,1933224
895,1449279
896,830250
897,2147106
898,2100315
899,1577439
900,912474
901,1103079
902,1261032
903,2016432
904,2029965
905,1855818
906,566748
907,2083470
908,371823
909,1958280
910,1547385
911,1708476
912,1276419
913,3582987
914,1186320
915,1294371
916,1420497
917,1018983
918,804108
919,1951434
920,838200
921,1984902
922,1229310
923,1042479
924,1894365
925,658068
926,2266383
927,1795308
929,2097984
930,1979067
931,1668705
932,1742637
933,109644
934,1169175
935,1399092
936,2087232
937,2367273
938,1025943
939,1844433
940,481134
941,834417
942,1879941
943,2114562
944,1721262
945,2130438
946,1655694
947,1136031
948,3104415
949,1532253
950,2309160
951,2485533
952,1861830
953,1537113
954,1009386
955,1757202
956,972639
943,291123
944,314835
946,297819
948,316041
949,348732
952,261063
954,219819
955,357474
956,322437
957,265653
958,276603
961,304140
964,254112
965,321465
969,325125
970,316143
971,344817
972,249381
977,303390
978,214383
981,291612
982,246726
984,262170
985,245781
986,71112
987,335766
988,369012
989,150615
990,320988
991,170070
992,254982
994,211572
998,263265
1001,229644
1002,256791
1003,350049
1004,259338
1006,310521
1009,317070
1011,309897
1012,103791
1014,341931
1015,274263
1017,298263
1018,313356
1019,313623
1020,363186
1025,27984
1026,343542
1027,318804
1028,290775
1029,192201
1030,302406
1059,1246977
1060,3143766
1061,2826534
1062,1187376
1063,3432726
1064,1223337
1065,969975
1066,1073478
1067,4499661
1068,3539976
1069,3102399
1070,4299756
1071,3090867
1072,3206457
1073,2304336
1074,3145386
1075,2788428
1076,2773062
1077,2553042
1078,1866351
1079,1243659
1080,1975041
1081,1769961
1082,2017008
1083,2690457
1084,3909462
1085,1110018
1086,816780
1087,2180949
1088,4198089
1089,3209973
1090,1485186
1091,2503836
1092,2767461
1093,2707245
1094,2015085
1095,3058143
1096,3487191
1097,3480078
1098,2635290
1099,2938620
1100,898260
1101,1740579
1102,3551202
1103,2867616
1104,1874394
1105,1940553
1106,2520606
1107,1347555
1108,818349
1109,1053345
1110,2888685
1111,1237344
1112,1468011
1113,3423696
1114,3069468
1115,1983915
1116,3304548
1117,3284454
1118,473571
1119,2521911
1120,3026925
1121,2229210
1122,1909659
1123,347481
1124,2542518
1125,3488586
1126,1712238
1127,1150671
1128,3278679
1129,2733468
1130,808038
1131,670755
1132,1787385
1133,3435687
1134,2643372
1135,3106476
1136,1527537
1137,1541331
1138,1222788
1139,823344
1140,2894907
1141,2411286
1142,1784913
1143,1730472
1144,3211464
1145,3473805
1146,1379526
1147,3428208
1148,397929
1149,1365804
1150,2565699
1151,2134785
1152,2596935
1153,803310
1154,3468282
1155,1604832
1156,2798190
1157,2533740
1158,1707030
1159,2127642
1160,757800
1161,1693926
1162,797826
1163,1257780
1164,829026
1165,1773159
1166,2879883
1167,609324
1168,1801407
1169,2229054
1170,2865327
1171,2432265
1172,2759769
1173,2652330
1174,2168367
1175,1452390
1176,4082274
1177,2487000
1178,3042042
1179,1868001
1180,2266848
1181,1159791
1182,3288579
1183,2854233
1184,1568286
1185,2142636
1186,1157742
1187,458721
1188,3831828
1189,2591670
1190,1963875
1191,507642
1192,3091269
1193,3326406
1194,3159363
1195,2567523
1196,668067
1197,2566377
1198,3294003
1199,361725
1200,3451668
1201,2980212
1202,631827
1203,1677876
1204,2654586
1205,2503875
1206,972102
1207,2166279
1208,2715630
1209,1922298
1210,2551128
1211,789177
1212,1665633
1213,4296141
1214,2927169
1215,1333554
1216,1755693
1217,993399
1218,2477214
1219,2482653
1220,2076753
1221,765588
1222,1326342
1223,2543298
1224,2254443
1225,1769196
1226,1387287
1227,646101
1228,1254474
1229,2589939
1230,2585574
1231,2232186
1232,2912595
1233,1493739
1234,2523594
1235,3292044
1236,2831061
1237,567666
1238,2826861
1239,3126159
1240,3250146
1241,1649127
1242,486771
1243,2470671
1244,2721639
1245,1032690
1246,3111630
1247,1653759
1248,2989524
1249,258162
1250,2784969
1251,3115596
1252,3400608
1253,1928427
1254,2657844
1255,1770276
1256,2847051
1257,3624171
1258,1724145
1259,630942
1260,2715429
1261,2534784
1262,2560710
1263,2974005
1264,1458585
1265,1454943
1266,2691021
1267,2622093
1268,2000571
1269,2773125
1270,574458
1271,2351961
1272,2226657
1273,1285521
1274,3496437
1275,513522
1276,2782821
1277,1081047
1278,785424
1279,225516
1280,2552337
1281,476646
1282,3413880
1283,2299848
1284,1624488
1285,1106079
1286,1920678
1287,4773048
1288,2504628
1289,2781294
1290,1006971
1291,3225150
1292,3199203
1293,1085580
1294,789294
1295,2549601
1296,3262212
1297,1686486
1298,3216243
1299,260769
1300,3696780
1301,1846929
1302,1866537
1303,2727279
1304,823257
1305,2415963
1306,965736
1307,2992221
1308,1967583
1309,951408
1310,869661
1311,2906295
1312,2921859
1313,3166917
1314,621429
1315,920199
1316,3085254
1317,603708
1318,1409865
1319,3076332
1320,3163566
1321,1374564
1322,939492
1323,743478
1324,2564040
1325,1449303
1326,428883
1327,2568189
1328,2940690
1329,3133803
1330,1820217
1331,895839
1332,2544552
1333,2153814
1334,3459144
1335,1115715
1336,2466387
1337,712596
1338,913377
1339,2790564
1340,541914
1341,2781615
1342,29394
1343,2941350
1344,3095061
1345,1996830
1346,3429018
1347,2569896
1348,736812
1349,2051880
1350,2983377
1351,746028
1352,1663887
1353,3079230
1354,2228916
1355,1435125
1356,2261862
1357,1803561
1358,850608
1359,3189894
1360,2563878
1361,1213506
1362,322185
1340,617727
1341,624912
1342,857328
1343,899787
1344,1185159
1345,541089
1346,395781
1347,715725
1348,491406
1349,529365
1350,797514
1351,450348
1352,212790
1353,585663
1354,601227
1355,472443
1356,844683
1357,457722
1358,736653
1359,1098423
1360,626472
1361,647220
1362,999903
1363,482583
1364,727728
1365,575406
1366,920961
1367,628077
1368,884091
1369,479472
1370,796311
1371,920964
1372,634095
1373,480390
1374,759687
1375,627033
1376,721800
1377,425694
1378,711495
1379,588513
1380,470436
1381,368052
1382,897177
1383,837114
1384,782355
1385,768621
1386,643962
1387,897762
1388,734952
1389,1094082
1390,414522
1391,621291
1392,542403
1393,762699
1394,994077
1395,339756
1396,914028
1397,830271
1398,480672
1399,616092
1400,642087
1401,922896
1402,746511
1403,796125
1404,615888
1405,474009
1406,1003110
1407,763242
1408,646440
1409,630678
1410,735888
1411,824238
1412,224034
1413,617808
1414,958770
1415,408468
1416,471306
1417,612327
1418,407391
1419,370050
1420,818397
1421,923244
1422,471384
1423,622746
1424,451128
1425,717225
1426,760593
1427,862443
1428,458916
1429,456450
1430,480600
1431,456987
1432,434115
1433,912426
1434,657951
1435,881205
1436,426522
1437,770415
1438,702324
1439,701406
1440,420966
1441,623499
1442,776361
1443,568371
1444,839622
1445,406248
1446,1254150
1447,818739
1448,435432
1449,894390
1450,440502
1451,891933
1452,478662
1453,514161
1454,913251
1455,379206
1456,721425
1457,610962
1458,707694
1459,800385
1460,615066
1461,939129
1462,618507
1463,646485
1464,683841
1465,522750
1466,1142460
1467,479724
1468,529314
1469,872196
1470,1108179
1471,479757
1472,372822
1473,589134
1474,968913
1475,949488
1476,519741
1477,445476
1478,616137
1479,712407
1480,808335
1481,491088
1482,507828
1483,695481
1484,464499
1485,721437
1486,670992
1487,961743
1488,774378
1489,398892
1490,805755
1491,764589
1492,433923
1493,496842
1494,86340
1495,941424
1496,436386
1497,710145
1498,916116
1499,471846
1500,716442
1501,726510
1502,499581
1503,850497
1504,495774
1505,541833
1506,382821
1507,897684
1508,547200
1509,692352
1510,1250514
1511,755709
1512,741486
1513,506847
1514,800715
1515,409824
1516,446448
1517,388320
1518,444348
1519,540867
1520,484353
1521,839625
1522,544323
1523,792570
1524,889068
1525,503298
1526,610557
1527,825168
1528,634857
1529,775404
1530,500760
1531,734082
1532,612318
1533,626934
1534,417336
1535,567564
1536,470229
1537,729246
1538,790143
1539,890025
1540,463506
1541,606405
1542,635091
1544,538335
1545,369429
1546,496221
1547,476340
1548,802899
1549,833703
1550,124524
1551,702141
1552,444204
1553,412677
1554,478206
1555,915975
1556,605511
1557,559677
1558,681534
1559,902016
1560,603612
1561,410430
1562,836433
1563,652920
1564,598380
1558,26520
1559,24759
1560,24666
1561,46482
1562,29934
1563,32121
1566,17244
1567,48615
1570,28008
1571,34512
1574,23739
1581,49938
1582,38391
1584,30765
1585,21852
1586,34746
1590,34647
1591,13632
1594,33156
1595,34212
1596,17688
1597,52542
1598,15045
1601,49683
1605,64773
1607,40692
1608,14793
1611,21102
1612,25839
1615,42390
1619,55635
1620,23613
1622,48255
1623,20169
1624,33447
1625,30549
1628,38940
1629,13740
1632,54114
1635,38514
1638,46959
1639,54846
1640,25476
1641,37818
1642,351
1644,23697
1646,45864
1649,49755
1650,24930
1652,43722
1654,57972
1656,39231
1657,37956
1659,36504
1660,68034
1664,44112
1666,4926
1669,31716
1670,35496
1671,28875
1672,43656
1675,24927
1677,40170
1678,44424
1685,16878
1687,27
1691,19788
1694,52824
1695,32952
1696,54078
1697,25566
1701,35787
